All,Всі
"Are you sure you want to remove this item?","Ви впевнені, що хочете вилучити цю позицію?"
"SKU number","Номер артиклу"
"Upload File","Завантажити файл"
"Your csv file must include ""sku"" and ""qty"" columns.","Ваш csv-файл повинен містити стовпці ""артикул"" та ""к-сть""."
Reset,Очистити
"SKU: ","Артикул: "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Тільки <span id=""%1_max_allowed"">%2</span> на складі"
Item,Позиція
"See price before order confirmation.","Перегляньте ціну перед підтвердженням замовлення."
"What's this?","Що це?"
"Incl. Tax","З податками"
"Excl. Tax","Викл. податки"
"Edit item parameters","Редегувати параметри позиції"
Edit,Редагувати
"Remove item","Видалити елемент"
"Products Requiring Attention","Товари, що потребують уваги"
"Add to Cart","Додати в кошик"
Sku,Артикул
File,Файл
"File extensions allowed: .csv","Дозволені розширення файлів: .csv"
"Add Row","Додати рядок"
"Remove Row","Вилучити рядок"
"Add Products By SKU","Додати товари за артикулом"
"Shopping Cart Management","Керування кошиком покупок"
"View Shopping Cart","Переглянути кошик покупок"
"View and modify Shopping Cart","Переглянути та змінити кошик покупок"
"Order by SKU Settings","Налаштування замовлень за артикулом"
"Enable Order by SKU on My Account in Storefront","Увімкнути замовлення за артикулом у Мій обліковий запис на Вітрині"
"Customer Groups","Групи Покупців"
"Apply Coupon","Застосувати купон"
"Order by SKU Description","Опис замовлення за артикулом"
"Display a Link to Loading a Spreadsheet","Показувати посилання на завантаження таблиці"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Визначає, чи буде посилання до Мій обліковий запис &gt; Сторінка замовлення за артикулом відображено на віджеті"
"Link Text","Текст посилання"
"The text of the link to the My Account &gt; Order by SKU page","Текст посилання до Мій обліковий запис &gt; Сторінка замовлення за артикулом"
"Load a list of SKUs","Завантажити список артикулів"
"Order by SKU Template","Шаблон замовлення за артикулом"
"SKU not found in catalog.","Артикул не знайдено в каталозі."
"This file needs to be in .csv format.","Цей файл має бути у .csv форматі."
"This customer couldn't be found. Verify the customer and try again.","Цей клієнт не знайдений. Перевірте клієнта і спробуйте ще раз."
"This store couldn't be found. Verify the store and try again.","Цей магазин не знайдений. Перевірте магазин і спробуйте ще раз."
"An error occurred. For details, see the error log.","Виникла помилка. Деталі дивіться в журналі помилок."
"The ordered item needs to be loaded. Load the item and try again.","Замовлений товар повинен бути завантажений. Завантажте товар і спробуйте ще раз."
"The wish list item ID needs to be received. Set the ID and try again.","Елемент із список побажань повинен бути отриманий. Завантажте елемент і повторіть спробу."
"The wish list item needs to be loaded. Load the item and try again.","Елемент із списку побажань повинен бути завантажений. Завантажте елемент і повторіть спробу."
"The file is corrupt and can't be used.","Файл пошкоджений і не може використовуватися."
"Please correct the data sent.","Будь ласка, виправте відправлені дані."
"Entity type model '%1' is not found","Модель типу об'єкта '%1' не знайдено"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Модель типу об\'єкта повинна бути екземпляром \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Немає типів продуктів доступних для експорту"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 класс не виконує \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Правило Продажу"
"Index sales rule","Індексувати Правило Продажу"
"Related Search Terms","Споріднені пошукові вирази"
"Add New Search Term","Додати новий пошуковий вираз"
button_label,мітка_кнопки
"Missing search engine parameter.","Відсутній параметр пошукової системи."
"Successful! Test again?","Успішно! Протестувати знову?"
"Connection failed! Test again?","Підключення не вдалося! Протестувати знову?"
"Enable Search Recommendations","Увімкнути пошукові рекомендації"
"When you enable this option your site may slow down.","Коли Ви увімкнете цю опцію, Ваш сайт може сповільнитись."
"Search Recommendations Count","Кількість пошукових рекомендацій"
"Show Results Count for Each Recommendation","Показувати кількість результатів для кожної рекомендації"
"Enable Search Suggestions","Увімкнути пошукові підказки"
"Search Suggestions Count","Кількість пошукових підказок"
"Show Results Count for Each Suggestion","Показувати кількість результатів для кожної підказки"
"Related search terms","Споріднені пошукові запити"
"Did you mean","Можливо, ви мали на увазі"
"Search Query","Пошуковий запит"
Store,Магазин
Results,Результати
Uses,Використовує
"Redirect URL","URL перенаправлення"
"Suggested Term","Запропонований вираз"
Yes,Так
Synonym,Синонім
"RPC call failed, connection timed out after %time_out.","RPC виклик невдалий, час підключення вичерпано після %time_out."
"Message has been rejected: %1","Повідомлення було відхилене: %1"
"Error while checking if topic is synchronous","Помилка під час перевірки чи тема є синхронною"
"Subscription status","Статус підписки"
"Sorry, there has been an error processing your request. Please try again later.","На жаль, сталась помилка під час обробки вашого запиту. Будь ласка, спробуйте пізніше."
"Time value has an unsupported format","Формат значення часу не підтримується"
"Cron settings can't be saved","Налаштування для крону не можуть бути збережені"
"There was an error save new configuration value.","Помилка під час збереження конфігурації."
"--Please Select--","--Виберіть, будь ласка--"
"Command was not found.","Команда не знайдена."
"Encryption key can't be empty.","Ключ шифрування не може бути пустим."
"File is not ready yet.","Файл ще не готовий."
TestMessage,"Тестове повідомлення"
"Art and Design","Мистецтво та дизайн"
"Advanced Reporting","Розширена звітність"
"Go to Advanced Reporting","Перейти до розширеної звітності"
Analytics,Аналітика
Configuration,Налаштування
"Advanced Reporting Service","Сервіс розширеної звітністі"
Done,Готово
Retry,Повторити
"'Action Details - #' .","'Параметри деталей - #' ."
"%1 item(s) have been scheduled for update.""","%1 елемент (и) були заплановані оновлення."""
"Bulk Actions Log","Масові дії журналу"
"Something went wrong while processing the request.","Щось пішло не так під час обробки запиту."
"%1 item(s) are currently being updated.","%1 елемент(и) в даний час оновлюється."
"Task ""%1"": ","Завдання ""%1"": "
"%1 item(s) have been scheduled for update.","%1 елемент (и) були заплановані оновлення."
"%1 item(s) have been successfully updated.","%1 елемент(и) були успішно оновлено."
"%1 item(s) failed to update","не вдалося оновити %1 елемент(ів)"
Details,Подробиці
"View Details","Переглянути подробиці"
Dismiss,Відмінити
"Pending, in queue...","Очікування, у черзі..."
"Something went wrong.","Щось пішло не так."
Summary,Підсумок
"Start Time","Час початку"
Status,Статус
"Meta Information","Meta інформація"
Error,Помилка
"Dismiss All Completed Tasks","Звільнити всі завершені завдання"
"We can't find the role for the user you wanted.","Ми не можемо знайти роль для бажаного вами користувача."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Щось пішло не так під час компілювання списку дозволених ресурсів. Ви можете дізнатися більше у журналі винятків."
"You created the order.","Ви створили замовлення."
"Order saving error: %1","Помилка збереження замовлення: %1"
"Please choose a payment method.","Будь ласка, виберіть спосіб оплати."
"We can't process your order right now. Please try again later.","Наразі ми не можемо опрацювати ваше замовлення. Будь ласка, спробуйте ще раз пізніше."
"An error occurred on the server. Please try to place the order again.","На сервері сталася помилка. Будь ласка, спробуйте розмістити замовлення знову."
"Credit Card: xxxx-%1","Кредитна картка: xxxx-%1"
"amount %1","обсяг %1"
failed.,"не вдалося."
successful.,успішно.
"Authorize.Net Transaction ID %1.","Ідентифікатор транзакції Authorize.Net %1."
authorize,авторизувати
"authorize and capture","авторизувати і блокувати"
capture,блокувати
refund,повернення
void,недійсний
"Gateway error: %1","Помилка шлюзу: %1"
"Something went wrong in the payment gateway.","Щось пішло не так у платіжному шлюзі."
"Invalid amount for capture.","Неприпустима сума для блокування."
"Payment capturing error.","Помилка блокування платежу."
"Invalid transaction ID.","Недійсний ідентифікатор транзакції."
"Payment voiding error.","Помилка анулювання платежу."
"Invalid amount for refund.","Неприпустима сума для повернення."
"Payment refunding error.","Помилка повернення платежу."
"The transaction was declined because the response hash validation failed.","Транзакцію було відхилено через невдалу валідацію хеша відповіді."
"This payment didn't work out because we can't find this order.","Цей платіж не спрацював, тому що ми не можемо знайти це замовлення."
"There was a payment authorization error.","Сталася помилка авторизації платежу."
"Please enter a transaction ID to authorize this payment.","Будь ласка, введіть ідентифікатор транзакції, щоб авторизувати цей платіж."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Щось пішло не так: сплачена сума не відповідає сумі замовлення. Будь ласка, виправте це і повторіть спробу."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Транзакція %1 була схвалена. Сума - %2. Статус транзакції - ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Транзакція %1 була анульована/відхилена. Статус транзакції - ""%2"". Сума - %3."
"Authorize Only","Тільки авторизувати"
"Authorize and Capture","Авторизувати та Захопити"
"Unable to get transaction details. Try again later.","Немає змоги отримати деталі транзакції. Повторіть спробу пізніше."
"Electronic payments save the trees.","Електронні платежі рятують ліс."
"Credit Card Type","Тип Кредитної Картки"
"Please Select","Виберіть, будь ласка"
"Credit Card Number","Номер Кредитної Картки"
"Expiration Date","Дата Збігає"
"Card Verification Number","Номер Підтвердження Картки"
"Fraud Detection ","Виявлення шахрайства "
"FDS Filter Action","Дія FDS-фільтра"
"AVS Response","Відповідь AVS"
"Card Code Response","Відповідь коду картки"
"CAVV Response","Відповідь CAVV"
"Fraud Filters","Фільтри шахрайства"
"Place Order","Розмістити Замовлення"
"Sorry, but something went wrong. Please contact the seller.","На жаль щось пішло не так. Будь ласка, зв'яжіться з продавцем."
"Authorize.net Direct Post","Пряме подання Authorize.net"
Enabled,Ввімкнено
"Payment Action","Дія Оплати"
Title,Назва
"API Login ID","Ідентифікатор логіну API"
"Transaction Key","Ключ транзакції"
"Merchant MD5","MD5 мерчанта"
"New Order Status","Статус нового замовлення"
"Test Mode","Тестовий режим"
"Gateway URL","URL-адреса шлюзу"
"Transaction Details URL","URL подробиць транзакції"
"Accepted Currency","Валюта, що приймається"
Debug,Відладка
"Email Customer","Написати ел. листа покупцеві"
"Merchant's Email","Електронна пошта мерчанта"
"Credit Card Types","Типи Кредитних Карток"
"Credit Card Verification","Перевірка кредитної картки"
"Payment from Applicable Countries","Платіж з Відповідних Країн"
"Payment from Specific Countries","Платіж з Конкретних Країн"
"Minimum Order Total","Мінімальний підсумок замовлення"
"Maximum Order Total","Максимальний підсумок замовлення"
"Sort Order","Порядок Сортування"
"Cannot place order.","Неможливо розмістити замовлення."
"Unable to place order. Please try again later.","Не вдалося розмістити замовлення. Будь ласка, спробуйте ще раз пізніше."
Environment,Середовище
options,опції
"Select all","Вибрати все"
"Deselect all","Скасувати виділення"
"%s of %s selected","%s з %s вибрано"
"B2B Features","B2B можливості"
"Invalid Form Key. Please refresh the page.","Недійсний Ключ Форми. Будь-ласка, оновіть сторінку."
"You entered an invalid Secret Key. Please refresh the page.","Ви ввели недійсний Секретний Ключ. Будь-ласка, оновіть сторінку."
"Cache Storage Management","Управління Сховищем Кешу"
"Flush Magento Cache","Скинути Magento Кеш"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Сховище кешу може містити додаткові дані. Ви впевнені, що бажаєте скинути його?"
"Flush Cache Storage","Скинути Сховище Кешу"
Invalidated,"Визнано недійсним"
Orders,Замовлення
Amounts,Суми
Bestsellers,"Лідери продажів"
"Most Viewed Products","Найбільш Просмотрювані Товари"
"New Customers","Нові покупці"
Customer,Покупець
Guest,Гість
Items,Елементи
Total,Загалом
"Lifetime Sales","Довічні Продажі"
"Average Order","Середнє Замовлення"
Average,Середній
Views,Перегляди
Revenue,Прибуток
Tax,Податок
Shipping,Доставка
"Images (.gif, .jpg, .png)","Зображення (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Медіа (.avi, .flv, .swf)"
"All Files","Всі файли"
"Reset to Default","Відновити Значення за Замовчуванням"
"All Store Views","Усі Види Магазинів"
"What is this?","Що це?"
"Save Account","Зберегти Обліковий Запис"
"My Account","Мій обліковий запис"
"Account Information","Інформація про обліковий запис"
"User Name","Ім'я користувача"
"First Name",Ім'я
"Last Name",Прізвище
Email,"Електронна пошта"
"User Email","Email Користувача"
"New Password","Новий пароль"
"Password Confirmation","Підтвердження Паролю"
"Interface Locale","Локалізація Інтерфейсу"
"Current User Identity Verification","Перевірка Особи Поточного Користувача"
"Your Password","Ваш Пароль"
"Save Cache Settings","Зберегти Налаштування Кешу"
"Catalog Rewrites","Перезаписи Каталогу"
Refresh,Оновити
"Images Cache","Кеш Зображень"
Clear,Очистити
"Search Index","Індекс пошуку"
Rebuild,Перебудувати
"Inventory Stock Status","Статус Запасу"
"Rebuild Catalog Index","Перебудувати Індекс Каталогу"
"Rebuild Flat Catalog Category","Перебудувати Просту Категорію Каталогу"
"Rebuild Flat Catalog Product","Перебудувати Простий Продукт Каталогу"
"Cache Control","Керування Кешем"
"All Cache","Весь кеш"
"No change","Без змін"
Disable,Вимкнути
Enable,Увімкнути
"Add Design Change","Додати Зміну Дизайну"
Delete,Видалити
Save,Зберегти
"Edit Design Change","Редагувати Зміну Дизайну"
"New Store Design Change","Нова Зміна Дизайну Магазину"
"General Settings","Основні Налаштування"
"-- Please Select --","-- Виберіть --"
"Custom Design","Користувацький Дизайн"
"Date From","Дата Від"
"Date To","Дата До"
"Design Change","Зміна Дизайну"
General,Загальні
"Delete %1 '%2'","Видалити %1 '%2'"
"Delete %1","Видалити %1"
"Block Information","Інформація про блок"
"Backup Options","Опції Резервної Копії"
"Create DB Backup","Створити Резервну Копію БД"
"Delete Store","Видалити магазин"
"Delete Web Site","Видалити веб-сайт"
"Save Web Site","Зберегти веб-сайт"
"Save Store","Зберегти Магазин"
"Save Store View","Зберегти Вид Магазину"
"Delete Store View","Видалити Вид Магазину"
"Edit Web Site","Редагувати Веб Сайт"
"New Web Site","Новий Веб-сайт"
"Edit Store","Змінити Магазин"
"New Store","Новий Магазин"
"Edit Store View","Редагувати Вид Магазину"
"New Store View","Новий Вид Магазину"
"Store Information","Інформація Магазину"
"Web Site",Веб-сайт
Name,Назва
Code,Код
"Root Category","Коренева Категорія"
"Default Store View","Вид Магазину за Замовчування"
"Store View Information","Інформація Виду Магазину"
Disabled,Вимкнено
"Web Site Information","Інформація Веб Сайту"
"Default Store","Магазин за Замовчуванням"
"Set as Default","Зробити Значенням за Замовчуванням"
Stores,Магазини
"Create Website","Створити Веб-сайт"
"Create Store","Створити Магазин"
"Create Store View","Створити Вид Магазину"
Home,Головна
"Are you sure you want to do this?","Ви справді бажаєте це зробити?"
"Add New Image","Додати Нове Зображення"
"Export block for grid %1 is not defined","Експорт блок для таблиці %1 не визначено"
"Reset Filter","Скинути фільтр"
Search,Пошук
Any,Будь-який
"All Countries","Всі Країни"
From,Від
To,До
"Date selector","Вибір дати"
"[ deleted ]","[ видалено ]"
"Select All","Вибрати все"
" [deleted]"," [видалено]"
"We couldn't find any records.","Ми не змогли знайти жодного запису."
"Add New","Додати Новий"
"Invalid export type supplied for grid export block","Додано недійсний тип експорту для експорт блоку таблиці"
Export,Експорт
"Please correct the column format and try again.","Будь-ласка, виправте формат стовпця і повторіть спробу."
"Please select items.","Будь-ласка, виберіть елементи."
Submit,Підтвердити
"Unknown block type","Невідомий тип блоку"
"Please correct the tab configuration and try again. Tab Id should be not empty","Будь-ласка, виправте конфігурацію вкладки і повторіть спробу. Ідентифікатор вкладки не повинен бути порожнім"
"Please correct the tab configuration and try again.","Будь-ласка, виправте конфігурацію вкладки і повторіть спробу."
"You have logged out.","Ви вийшли з системи."
"Specified cache type(s) don't exist: %1","Вказаний(і) тип(и) кешу не існує(ють): %1"
"The image cache was cleaned.","Кеш зображення було очищено."
"An error occurred while clearing the image cache.","Сталася помилка під час очищення кешу зображення."
"The JavaScript/CSS cache has been cleaned.","Кеш JavaScript/CSS було очищено."
"An error occurred while clearing the JavaScript/CSS cache.","Сталася помилка під час очищення JavaScript/CSS кешу."
"The static files cache has been cleaned.","Кеш статичних файлів було очищено."
"You flushed the cache storage.","Ви скинули сховище кешу."
"The Magento cache storage has been flushed.","Сховище Magento кешу було скинуто."
"Cache Management","Управління Кешем"
"You can't change status of cache type(s) in production mode","Не можна змінити статус кеш типу (типів) в робочому режимі"
"%1 cache type(s) disabled.","%1 тип(ів) кешу вимкнуто."
"An error occurred while disabling cache.","Сталася помилка під час відключення кешу."
"%1 cache type(s) enabled.","%1 тип(ів) кешу ввімкнуто."
"An error occurred while enabling cache.","Сталася помилка під час увімкнення кешу."
"%1 cache type(s) refreshed.","%1 тип(ів) кешу оновлено."
"An error occurred while refreshing cache.","Сталася помилка під час оновлення кешу."
Dashboard,"Панель управління"
"We updated lifetime statistic.","Ми оновили статистику тривалості."
"We can't refresh lifetime statistics.","Ми не можемо оновити статистику тривалості."
"invalid request","Невірний запит"
"see error log for details","для подробиць дивіться журнал помилок"
"Service unavailable: %1","Недоступний сервіс: %1"
"Access Denied.","Доступ Заборонений."
"You need more permissions to do this.","Вам потрібно більше прав для цього."
"No search modules were registered","Жодного пошукового модуля не було зареєстровано"
"Please make sure that all global admin search modules are installed and activated.","Будь-ласка, переконайтеся, що усі загальні пошукові модулі адміністратора встановлені та активовані."
